1,Kent,DE,276.9,8,54783,84.9,20
2,New Castle,DE,1263.2,7.6,64158,88.9,32.7
3,Sussex,DE,210.6,6.4,53215,85.3,21.9
4,Autauga,AL,91.8,7.2,53899,86.5,21.6
5,Baldwin,AL,114.6,7.2,51321,87.9,27.2
6,Barbour,AL,31,12.5,34041,72.4,13.9
7,Bibb,AL,36.8,8.5,40506,75.9,9.8
8,Blount,AL,88.9,6.9,45404,73.2,11.3
9,Bullock,AL,17.5,14.1,31955,72,14.4
10,Butler,AL,27,12.1,31273,74.7,12.4
11,Calhoun,AL,195.7,8.6,39467,77.9,15.8
12,Chambers,AL,57.4,11.9,32186,74.2,10.5
13,Cherokee,AL,46.9,8,37833,73.5,11.3
14,Chilton,AL,63,7.7,40418,74.8,12.4
15,Choctaw,AL,15.2,10.3,32188,73.6,10.5
16,Clarke,AL,20.9,13.4,29668,78.1,13.2
17,Clay,AL,23.1,10,35410,72.8,9.1
18,Cleburne,AL,26.7,7.8,38785,73,9.4
19,Coffee,AL,73.6,7,42065,80.2,21.3
20,Colbert,AL,91.8,8.8,40247,80.8,17.4
21,Conecuh,AL,15.6,12.7,27977,72.7,11.6
22,Coosa,AL,17.7,9,37191,76.2,9.5
23,Covington,AL,36.6,8.1,33544,76.6,12.9
24,Crenshaw,AL,22.8,7.8,38041,76.1,11.6
25,Cullman,AL,109.4,7.1,38703,76.6,14.2
26,Dale,AL,89.6,8.2,45491,83.1,17.6
27,Dallas,AL,44.8,15.2,26909,76.2,13.6
28,De Kalb,AL,91.5,9.2,36853,70.3,10.7
29,Elmore,AL,128.2,7.6,54831,84.9,21.2
30,Escambia,AL,40.5,10,31638,73.7,11.8
31,Etowah,AL,195.2,8.1,37772,81.7,15.3
32,Fayette,AL,27.5,8.8,33378,74.6,10.9
33,Franklin,AL,50,9.1,35831,71.6,11.4
34,Geneva,AL,46.6,7.7,35237,74.6,10.3
35,Greene,AL,14,11.9,23004,73,10.6
36,Hale,AL,24.5,10.3,29236,71,10
37,Henry,AL,30.8,8.7,39948,76.4,14.8
38,Houston,AL,175.1,7.8,41766,82.9,18.8
39,Jackson,AL,49.4,8,36383,74.4,13.5
40,Jefferson,AL,592.5,7.7,45750,86.7,29
41,Lamar,AL,24.1,8.6,34711,76.3,9.4
42,Lauderdale,AL,138.8,7.6,39702,82.9,21.6
43,Lawrence,AL,49.7,8.7,40009,77.7,12.3
44,Lee,AL,230.8,7.6,42320,85.5,31.2
45,Limestone,AL,147.8,6.9,47199,80.4,21.1
46,Lowndes,AL,15.8,15.7,27905,74.3,13.7
47,Macon,AL,35.2,11.6,29355,78.9,21.1
48,Madison,AL,417.7,7.2,57453,88.9,37.4
49,Marengo,AL,21.5,10.5,35165,80.9,17.8
50,Marion,AL,41.5,10.3,31799,69.2,8.5
51,Marshall,AL,164.4,7.9,38563,74.5,15.2
52,Mobile,AL,335.9,9.5,42187,82.9,20.1
53,Monroe,AL,22.5,13.3,29849,75.4,10.4
54,Montgomery,AL,292.5,8.9,44587,84.6,31.2
55,Morgan,AL,206.3,7.9,45564,81.9,19
56,Perry,AL,14.7,14.6,27222,71.7,12.6
57,Pickens,AL,22.4,10.2,29096,77,10.3
58,Pike,AL,48.9,8.1,31179,79.9,23.4
59,Randolph,AL,39.5,10.6,35823,71.2,12.2
60,Russell,AL,82.6,9.9,33754,77.4,12.6
61,St Clair,AL,132.3,7.2,49200,79.9,14.6
62,Shelby,AL,248.5,5.6,68883,91.4,40
63,Sumter,AL,15.2,13.4,21964,75.4,13.6
64,Talladega,AL,111.7,9,36609,76.6,12.3
65,Tallapoosa,AL,58.1,9.8,39423,77.6,17.1
66,Tuscaloosa,AL,147.3,7.8,43538,85.3,26
67,Walker,AL,84.7,8.5,37161,76,10
68,Washington,AL,16.3,12.9,40286,80.7,10.1
69,Wilcox,AL,13.1,17.5,23750,72.4,12
70,Winston,AL,39.9,10.5,32557,70.9,11.5
71,Alachua,FL,282.7,7.3,41373,90.3,41.1
72,Baker,FL,46.3,7.7,47041,78.4,7.4
73,Bay,FL,222.6,8,48225,87.1,21
74,Bradford,FL,97,7.5,41397,74.4,8.8
75,Brevard,FL,535,9.5,50068,90.3,26.4
76,Broward,FL,1444.9,7.8,51782,87.3,29.9
77,Calhoun,FL,25.8,8.6,31142,71.9,7.9
78,Charlotte,FL,235.2,9,45112,88.4,20.9
79,Citrus,FL,242.8,10.2,38189,85.2,16.5
80,Clay,FL,315.8,8,59994,89.9,23.2
81,Collier,FL,160.9,9,56876,85.3,31.6
82,Columbia,FL,84.7,8.5,38589,81.2,13.1
83,De Soto,FL,54.7,9.6,36407,68.9,11.4
84,Dixie,FL,23.3,11.3,34243,75.8,8.9
85,Duval,FL,1133.9,9.4,49964,87.5,25.2
86,Escambia,FL,453.4,8.7,43707,87.1,23.3
87,Flagler,FL,197.1,11.9,48708,90.1,22
88,Franklin,FL,21.6,6.6,37017,79.4,17.6
89,Gadsden,FL,89.8,9,33453,76.3,13.2
90,Gilchrist,FL,48.4,8.6,38467,81.3,11.4
91,Glades,FL,16,9.9,39611,74,10.3
92,Gulf,FL,28.1,8.4,41291,77.3,13.3
93,Hamilton,FL,28.8,10.9,36683,74.8,8.4
94,Hardee,FL,43.5,9.5,38046,63.2,9.3
95,Hendry,FL,34,15.3,37989,63.5,9.4
96,Hernando,FL,365.6,11.4,42700,86,16.2
97,Highlands,FL,97.2,9.7,34913,79.3,14.5
98,Hillsborough,FL,1204.9,8.9,50195,86,29
99,Holmes,FL,41.6,7.7,33510,72,10.1
100,Indian River,FL,274.5,11.5,46363,86.9,26.4
101,Jackson,FL,54.2,7.6,39869,79.1,13.6
102,Jefferson,FL,24.7,7.9,42096,81,15.5
103,Lafayette,FL,16.3,7.9,49713,81.8,10.3
104,Lake,FL,316.6,9.4,47509,87.1,20.1
